tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,panel_area_m2,district_number,year,Unemployment_Rate,Average_Age,Elderly_Population,Young_Population,Total_Population,Number_of_Houses,employed
tile_r36_c9,31,23,26566.622,275.722,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r37_c0,118,103,2864.634,345.04,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r37_c1,75,63,3626.943,574.816,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r37_c10,49,40,11707.5,478.081,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r37_c11,76,60,3978.892,218.4,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r37_c12,94,84,3654.824,376.737,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r37_c13,47,41,8708.238,164.08,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r37_c14,38,32,2604.242,129.235,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r37_c15,72,66,2139.262,181.137,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r37_c16,62,52,3704.95,257.554,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r37_c17,15,13,1026.512,18.259,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r37_c18,45,43,1447.772,159.743,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r37_c19,4,4,0.0,0.0,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r37_c2,27,22,6383.165,209.486,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r37_c20,2,2,0.0,0.0,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r37_c21,8,8,0.0,0.0,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r37_c22,19,17,684.297,30.873,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r37_c23,58,52,2142.565,81.15,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r37_c24,52,44,1855.634,75.413,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r37_c25,19,16,1203.076,140.841,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r37_c26,2,2,0.0,0.0,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r37_c3,26,21,13824.227,675.049,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r37_c4,41,34,12981.127,341.577,14,2009,"5,3","41,6",7219.0,5740.0,39787,,"69,6"
tile_r37_c5,20,14,26101.106,1231.708,14,2009,"5,3","41,6",7219.0,5740.0,39787,,"69,6"
tile_r37_c6,27,23,12244.465,1134.615,14,2009,"5,3","41,6",7219.0,5740.0,39787,,"69,6"
tile_r37_c7,13,9,17643.906,346.46,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r37_c8,28,19,22501.981,1023.96,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r37_c9,35,24,25524.171,1471.255,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r38_c0,31,26,4283.71,283.562,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r38_c1,45,40,2345.434,563.22,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r38_c10,51,41,8760.404,714.039,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r38_c11,73,65,2693.173,323.784,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r38_c12,53,48,4468.071,241.846,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r38_c13,27,19,20874.086,658.984,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r38_c14,55,47,7854.269,643.729,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r38_c15,105,94,2099.47,186.343,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r38_c16,63,52,4939.888,396.421,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
