Year,Location,Value,District
2008,Bogenhausen,68,13
2008,Berg am Laim,"69,9",14
2008,Trudering - Riem,"66,9",15
2008,Ramersdorf - Perlach,"67,2",16
2008,Obergiesing - Fasangarten,"72,6",17
2008,Untergiesing - Harlaching,"68,7",18
2008,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"65,9",19
2008,Hadern,"65,3",20
2008,Pasing - Obermenzing,"66,6",21
2008,Aubing - Lochhausen - Langwied,"63,8",22
2008,Allach - Untermenzing,"65,3",23
2008,Feldmoching - Hasenbergl,65,24
2008,Laim,"69,5",25
2007,Stadt München,"70,4",00
2007,Altstadt - Lehel,"74,7",01
2007,Ludwigsvorstadt - Isarvorstadt,"79,6",02
2007,Maxvorstadt,"80,3",03
2007,Schwabing - West,74,04
2007,Au - Haidhausen,"75,3",05
2007,Sendling,"74,2",06
2007,Sendling - Westpark,"69,7",07
2007,Schwanthalerhöhe,"75,9",08
2007,Neuhausen - Nymphenburg,"72,4",09
2007,Moosach,"69,1",10
2007,Milbertshofen - Am Hart,"71,4",11
2007,Schwabing - Freimann,"74,2",12
2007,Bogenhausen,"68,7",13
2007,Berg am Laim,"70,2",14
2007,Trudering - Riem,"67,5",15
2007,Ramersdorf - Perlach,"67,5",16
2007,Obergiesing - Fasangarten,"72,5",17
2007,Untergiesing - Harlaching,"68,8",18
2007,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"66,2",19
2007,Hadern,"65,4",20
2007,Pasing - Obermenzing,"67,2",21
2007,Aubing - Lochhausen - Langwied,64,22
2007,Allach - Untermenzing,"65,4",23
2007,Feldmoching - Hasenbergl,"64,9",24
2007,Laim,"69,3",25
2006,Stadt München,"70,4",00
2006,Altstadt - Lehel,"74,9",01
2006,Ludwigsvorstadt - Isarvorstadt,"79,3",02
2006,Maxvorstadt,"79,8",03
2006,Schwabing - West,"73,8",04
2006,Au - Haidhausen,"75,2",05
2006,Sendling,"73,8",06
2006,Sendling - Westpark,"69,6",07
2006,Schwanthalerhöhe,"75,8",08
2006,Neuhausen - Nymphenburg,"72,1",09
2006,Moosach,"69,2",10
2006,Milbertshofen - Am Hart,"71,1",11
2006,Schwabing - Freimann,74,12
2006,Bogenhausen,"69,2",13
2006,Berg am Laim,"70,1",14
2006,Trudering - Riem,"67,8",15
2006,Ramersdorf - Perlach,68,16
2006,Obergiesing - Fasangarten,"72,1",17
2006,Untergiesing - Harlaching,"68,7",18
2006,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"66,5",19
2006,Hadern,"65,6",20
2006,Pasing - Obermenzing,"67,5",21
2006,Aubing - Lochhausen - Langwied,"64,7",22
2006,Allach - Untermenzing,"65,5",23
2006,Feldmoching - Hasenbergl,65,24
2006,Laim,"69,2",25
2005,Stadt München,"70,4",00
2005,Altstadt - Lehel,"74,8",01
2005,Ludwigsvorstadt - Isarvorstadt,"78,9",02
2005,Maxvorstadt,"79,1",03
2005,Schwabing - West,"73,7",04
2005,Au - Haidhausen,"74,7",05
2005,Sendling,"73,6",06
2005,Sendling - Westpark,"69,5",07
2005,Schwanthalerhöhe,"75,6",08
2005,Neuhausen - Nymphenburg,"71,7",09
2005,Moosach,"69,5",10
2005,Milbertshofen - Am Hart,71,11
2005,Schwabing - Freimann,"73,6",12
2005,Bogenhausen,"69,8",13
2005,Berg am Laim,"69,9",14
2005,Trudering - Riem,"68,3",15
