Year,Location,Overall Population,District
2011,Stadt München,1410741,00
2011,Altstadt - Lehel,19707,01
2011,Ludwigsvorstadt - Isarvorstadt,48231,02
2011,Maxvorstadt,49498,03
2011,Schwabing - West,63644,04
2011,Au - Haidhausen,57297,05
2011,Sendling,39002,06
2011,Sendling - Westpark,53271,07
2011,Schwanthalerhöhe,28678,08
2011,Neuhausen - Nymphenburg,92139,09
2011,Moosach,49384,10
2011,Milbertshofen - Am Hart,70470,11
2011,Schwabing - Freimann,66706,12
2011,Bogenhausen,79175,13
2011,Berg am Laim,41342,14
2011,Trudering - Riem,64983,15
2011,Ramersdorf - Perlach,105900,16
2011,Obergiesing - Fasangarten,50656,17
2011,Untergiesing - Harlaching,50455,18
2011,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,85468,19
2011,Hadern,47459,20
2011,Pasing - Obermenzing,67878,21
2011,Aubing - Lochhausen - Langwied,39789,22
2011,Allach - Untermenzing,29693,23
2011,Feldmoching - Hasenbergl,57183,24
2011,Laim,52733,25
2010,Stadt München,1382273,00
2010,Altstadt - Lehel,19207,01
2010,Ludwigsvorstadt - Isarvorstadt,47357,02
2010,Maxvorstadt,48875,03
2010,Schwabing - West,62856,04
2010,Au - Haidhausen,56322,05
2010,Sendling,38567,06
2010,Sendling - Westpark,52495,07
2010,Schwanthalerhöhe,28004,08
2010,Neuhausen - Nymphenburg,89286,09
2010,Moosach,48421,10
2010,Milbertshofen - Am Hart,68970,11
2010,Schwabing - Freimann,65158,12
2010,Bogenhausen,77542,13
2010,Berg am Laim,40550,14
2010,Trudering - Riem,62756,15
2010,Ramersdorf - Perlach,104737,16
2010,Obergiesing - Fasangarten,49030,17
2010,Untergiesing - Harlaching,49502,18
2010,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,83584,19
2010,Hadern,46851,20
2010,Pasing - Obermenzing,66244,21
2010,Aubing - Lochhausen - Langwied,38863,22
2010,Allach - Untermenzing,29161,23
2010,Feldmoching - Hasenbergl,56130,24
2010,Laim,51805,25
2009,Stadt München,1364194,00
2009,Altstadt - Lehel,18932,01
2009,Ludwigsvorstadt - Isarvorstadt,46446,02
2009,Maxvorstadt,48619,03
2009,Schwabing - West,62028,04
2009,Au - Haidhausen,55590,05
2009,Sendling,38112,06
2009,Sendling - Westpark,52185,07
2009,Schwanthalerhöhe,27814,08
2009,Neuhausen - Nymphenburg,87846,09
2009,Moosach,48692,10
2009,Milbertshofen - Am Hart,68023,11
2009,Schwabing - Freimann,63720,12
2009,Bogenhausen,76684,13
2009,Berg am Laim,39787,14
2009,Trudering - Riem,60879,15
2009,Ramersdorf - Perlach,103732,16
2009,Obergiesing - Fasangarten,48425,17
2009,Untergiesing - Harlaching,48911,18
2009,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,82482,19
2009,Hadern,46490,20
2009,Pasing - Obermenzing,65279,21
2009,Aubing - Lochhausen - Langwied,38268,22
2009,Allach - Untermenzing,28732,23
2009,Feldmoching - Hasenbergl,55180,24
2009,Laim,51338,25
2008,Stadt München,1367314,00
2008,Altstadt - Lehel,19505,01
2008,Ludwigsvorstadt - Isarvorstadt,47599,02
2008,Maxvorstadt,48884,03
2008,Schwabing - West,62541,04
2008,Au - Haidhausen,55853,05
2008,Sendling,38335,06
2008,Sendling - Westpark,52257,07
2008,Schwanthalerhöhe,27789,08
2008,Neuhausen - Nymphenburg,87043,09
2008,Moosach,48451,10
2008,Milbertshofen - Am Hart,68198,11
2008,Schwabing - Freimann,64350,12
2008,Bogenhausen,77112,13
2008,Berg am Laim,40039,14
2008,Trudering - Riem,59031,15
2008,Ramersdorf - Perlach,104089,16
2008,Obergiesing - Fasangarten,48282,17
2008,Untergiesing - Harlaching,49391,18
2008,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,82771,19
2008,Hadern,46385,20
2008,Pasing - Obermenzing,65290,21
2008,Aubing - Lochhausen - Langwied,38327,22
2008,Allach - Untermenzing,28796,23
2008,Feldmoching - Hasenbergl,55667,24
2008,Laim,51329,25
2007,Stadt München,1351445,00
2007,Altstadt - Lehel,19228,01
2007,Ludwigsvorstadt - Isarvorstadt,46520,02
2007,Maxvorstadt,47711,03
2007,Schwabing - West,61514,04
2007,Au - Haidhausen,55288,05
2007,Sendling,37940,06
2007,Sendling - Westpark,51745,07
2007,Schwanthalerhöhe,26877,08
2007,Neuhausen - Nymphenburg,85964,09
2007,Moosach,48306,10
2007,Milbertshofen - Am Hart,67864,11
2007,Schwabing - Freimann,63832,12
2007,Bogenhausen,76709,13
2007,Berg am Laim,39786,14
2007,Trudering - Riem,56487,15
2007,Ramersdorf - Perlach,103447,16
2007,Obergiesing - Fasangarten,47791,17
2007,Untergiesing - Harlaching,48990,18
2007,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,82283,19
2007,Hadern,46059,20
2007,Pasing - Obermenzing,64773,21
2007,Aubing - Lochhausen - Langwied,38091,22
2007,Allach - Untermenzing,28165,23
2007,Feldmoching - Hasenbergl,55475,24
2007,Laim,50600,25
2006,Stadt München,1326206,00
2006,Altstadt - Lehel,18876,01
2006,Ludwigsvorstadt - Isarvorstadt,45736,02
2006,Maxvorstadt,46058,03
2006,Schwabing - West,59553,04
2006,Au - Haidhausen,54382,05
2006,Sendling,37146,06
2006,Sendling - Westpark,50903,07
2006,Schwanthalerhöhe,26103,08
2006,Neuhausen - Nymphenburg,84604,09
2006,Moosach,47754,10
2006,Milbertshofen - Am Hart,66992,11
2006,Schwabing - Freimann,62430,12
2006,Bogenhausen,75657,13
2006,Berg am Laim,39009,14
2006,Trudering - Riem,53915,15
2006,Ramersdorf - Perlach,102689,16
2006,Obergiesing - Fasangarten,47007,17
2006,Untergiesing - Harlaching,48075,18
2006,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,80701,19
2006,Hadern,44993,20
2006,Pasing - Obermenzing,63763,21
2006,Aubing - Lochhausen - Langwied,37857,22
2006,Allach - Untermenzing,27730,23
2006,Feldmoching - Hasenbergl,54245,24
2006,Laim,50028,25
2005,Stadt München,1288307,00
2005,Altstadt - Lehel,18631,01
2005,Ludwigsvorstadt - Isarvorstadt,43945,02
2005,Maxvorstadt,42201,03
2005,Schwabing - West,56033,04
2005,Au - Haidhausen,52502,05
2005,Sendling,35966,06
2005,Sendling - Westpark,49472,07
2005,Schwanthalerhöhe,25507,08
2005,Neuhausen - Nymphenburg,82156,09
2005,Moosach,47198,10
2005,Milbertshofen - Am Hart,64612,11
2005,Schwabing - Freimann,59767,12
2005,Bogenhausen,73860,13
2005,Berg am Laim,38341,14
2005,Trudering - Riem,50990,15
2005,Ramersdorf - Perlach,101820,16
2005,Obergiesing - Fasangarten,45132,17
2005,Untergiesing - Harlaching,46857,18
2005,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,79148,19
2005,Hadern,43981,20
2005,Pasing - Obermenzing,62724,21
2005,Aubing - Lochhausen - Langwied,37560,22
2005,Allach - Untermenzing,27586,23
2005,Feldmoching - Hasenbergl,53389,24
2005,Laim,48927,25
2004,Stadt München,1273186,00
2004,Altstadt - Lehel,18210,01
2004,Ludwigsvorstadt - Isarvorstadt,43469,02
2004,Maxvorstadt,41581,03
2004,Schwabing - West,55231,04
2004,Au - Haidhausen,51383,05
2004,Sendling,35691,06
2004,Sendling - Westpark,48669,07
2004,Schwanthalerhöhe,25369,08
2004,Neuhausen - Nymphenburg,81921,09
2004,Moosach,46856,10
2004,Milbertshofen - Am Hart,63076,11
2004,Schwabing - Freimann,59602,12
2004,Bogenhausen,72982,13
2004,Berg am Laim,38139,14
2004,Trudering - Riem,48914,15
2004,Ramersdorf - Perlach,100851,16
2004,Obergiesing - Fasangarten,44473,17
2004,Untergiesing - Harlaching,46462,18
2004,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,78057,19
2004,Hadern,43396,20
2004,Pasing - Obermenzing,62081,21
2004,Aubing - Lochhausen - Langwied,37595,22
2004,Allach - Untermenzing,27374,23
2004,Feldmoching - Hasenbergl,52958,24
2004,Laim,48841,25
2003,Stadt München,1267813,00
2003,Altstadt - Lehel,18159,01
2003,Ludwigsvorstadt - Isarvorstadt,43637,02
2003,Maxvorstadt,41502,03
2003,Schwabing - West,54351,04
2003,Au - Haidhausen,51636,05
2003,Sendling,35113,06
2003,Sendling - Westpark,48564,07
2003,Schwanthalerhöhe,25328,08
2003,Neuhausen - Nymphenburg,81661,09
2003,Moosach,46546,10
2003,Milbertshofen - Am Hart,61886,11
2003,Schwabing - Freimann,60215,12
2003,Bogenhausen,73070,13
2003,Berg am Laim,37628,14
2003,Trudering - Riem,47919,15
2003,Ramersdorf - Perlach,100735,16
2003,Obergiesing - Fasangarten,44761,17
2003,Untergiesing - Harlaching,46707,18
2003,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,77850,19
2003,Hadern,42823,20
2003,Pasing - Obermenzing,61509,21
2003,Aubing - Lochhausen - Langwied,37566,22
2003,Allach - Untermenzing,26977,23
2003,Feldmoching - Hasenbergl,52961,24
2003,Laim,48708,25
2002,Stadt München,1264309,00
2002,Altstadt - Lehel,18193,01
2002,Ludwigsvorstadt - Isarvorstadt,44059,02
2002,Maxvorstadt,41606,03
2002,Schwabing - West,54272,04
2002,Au - Haidhausen,52000,05
2002,Sendling,35102,06
2002,Sendling - Westpark,48448,07
2002,Schwanthalerhöhe,25080,08
2002,Neuhausen - Nymphenburg,81947,09
2002,Moosach,46333,10
2002,Milbertshofen - Am Hart,61655,11
2002,Schwabing - Freimann,60060,12
2002,Bogenhausen,72429,13
2002,Berg am Laim,37793,14
2002,Trudering - Riem,47186,15
2002,Ramersdorf - Perlach,100145,16
2002,Obergiesing - Fasangarten,44616,17
2002,Untergiesing - Harlaching,46495,18
2002,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,77659,19
2002,Hadern,42563,20
2002,Pasing - Obermenzing,60616,21
2002,Aubing - Lochhausen - Langwied,37532,22
2002,Allach - Untermenzing,26903,23
2002,Feldmoching - Hasenbergl,53010,24
2002,Laim,48606,25
2001,Stadt München,1260597,00
2001,Altstadt - Lehel,18462,01
2001,Ludwigsvorstadt - Isarvorstadt,44484,02
2001,Maxvorstadt,42159,03
2001,Schwabing - West,54580,04
2001,Au - Haidhausen,51947,05
2001,Sendling,34820,06
2001,Sendling - Westpark,48608,07
2001,Schwanthalerhöhe,24905,08
2001,Neuhausen - Nymphenburg,82235,09
2001,Moosach,46174,10
2001,Milbertshofen - Am Hart,61034,11
2001,Schwabing - Freimann,59392,12
2001,Bogenhausen,71716,13
2001,Berg am Laim,37605,14
2001,Trudering - Riem,45403,15
2001,Ramersdorf - Perlach,100407,16
2001,Obergiesing - Fasangarten,44143,17
2001,Untergiesing - Harlaching,46580,18
2001,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,77518,19
2001,Hadern,41858,20
2001,Pasing - Obermenzing,60445,21
2001,Aubing - Lochhausen - Langwied,37693,22
2001,Allach - Untermenzing,26794,23
2001,Feldmoching - Hasenbergl,52896,24
2001,Laim,48739,25
2000,Stadt München,1247934,00
2000,Altstadt - Lehel,18374,01
2000,Ludwigsvorstadt - Isarvorstadt,44451,02
2000,Maxvorstadt,41726,03
2000,Schwabing - West,53789,04
2000,Au - Haidhausen,52028,05
2000,Sendling,34462,06
2000,Sendling - Westpark,48388,07
2000,Schwanthalerhöhe,24883,08
2000,Neuhausen - Nymphenburg,81968,09
2000,Moosach,45507,10
2000,Milbertshofen - Am Hart,60225,11
2000,Schwabing - Freimann,57653,12
2000,Bogenhausen,70984,13
2000,Berg am Laim,37090,14
2000,Trudering - Riem,43003,15
2000,Ramersdorf - Perlach,100015,16
2000,Obergiesing - Fasangarten,43974,17
2000,Untergiesing - Harlaching,46153,18
2000,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,76762,19
2000,Hadern,41689,20
2000,Pasing - Obermenzing,59758,21
2000,Aubing - Lochhausen - Langwied,37423,22
2000,Allach - Untermenzing,26682,23
2000,Feldmoching - Hasenbergl,52413,24
2000,Laim,48534,25
